,Substrate,Phosphosite,Control_mean,Inhibitor_mean,Fold_change,p_value,ctrlCV,treatCV,Kinase
497,ANAPC1,S355,230892216.7,323112826.4,1.399409781,0.011623716000000001,0.133089159,0.100042133,PLK1
498,ANAPC1,S377,268835672.2,595094176.5,2.213598261,0.033918015,0.5465899670000001,0.243913988,CDK1
498,ANAPC1,S377,268835672.2,595094176.5,2.213598261,0.033918015,0.5465899670000001,0.243913988,PLK1
499,ANAPC1,S688,7512439.171,19108901.03,2.54363471,0.381632066,1.230883553,1.002873881,CDK1
499,ANAPC1,S688,7512439.171,19108901.03,2.54363471,0.381632066,1.230883553,1.002873881,PLK1
534,ANKRD17,S2401,3449021377.0,3338493715.0,0.967953906,0.8785496420000001,0.26538813,0.23274309399999998,CDK2
583,ANP32B,T244,11107597.53,320325.1464,0.028838383,0.275496306,1.401279554,1.732050808,CK2A1
592,ANXA2,Y24,5252806.508,0.0,0.0,0.355917684,1.732050808,0.0,Src
592,ANXA2,Y24,5252806.508,0.0,0.0,0.355917684,1.732050808,0.0,IGF1R
605,AP2M1,T156,3953606786.0,3224072735.0,0.815476325,0.761014126,0.8844420820000001,0.582581887,AAK1
623,APC,S1360,5524075088.0,5325073454.0,0.9639755740000001,0.5317024920000001,0.079902015,0.051464438,CDK2
669,ARAP1,Y231,26790258.78,16896423.18,0.630692795,0.765330554,1.732050808,1.732050808,Brk
701,ARFIP1,S132,517051847.3,300821355.4,0.581801142,0.179235697,0.38023660600000003,0.493405528,PRKD1
724,ARHGAP15,S43,620130549.4,576277770.2,0.929284601,0.854526992,0.604709493,0.225335426,PAK2
730,ARHGAP19,S422,320149506.1,355451213.8,1.1102663190000002,0.749333045,0.31558823399999997,0.428426221,ROCK1
730,ARHGAP19,S422,320149506.1,355451213.8,1.1102663190000002,0.749333045,0.31558823399999997,0.428426221,Akt1
761,ARHGAP35,S1174,73052392.01,70778098.0,0.968867631,0.9323710890000001,0.590682213,0.15471032,ROCK1
786,ARHGDIA,S101,4397661.703,0.0,0.0,0.14457745800000002,1.032895452,0.0,PAK1
831,ARHGEF2,S143,554181.8420000001,14269119.75,25.74808242,0.067650397,1.732050808,0.744896993,MARK2
833,ARHGEF2,S886,26385846.88,23679692.09,0.8974391540000001,0.861079046,0.731885393,0.7135939290000001,AurA
833,ARHGEF2,S886,26385846.88,23679692.09,0.8974391540000001,0.861079046,0.731885393,0.7135939290000001,PAK1
836,ARHGEF2,S960,254790076.2,352340572.6,1.3828661530000002,0.3822237,0.147746519,0.497341652,CDK1
853,ARHGEF6,S225,810611641.5,2004610158.0,2.4729599909999997,0.004999599,0.273054376,0.211943341,PKCT
854,ARHGEF6,S488,617614962.8,714895894.7,1.157510646,0.5305060229999999,0.089402439,0.345669083,PKCT
856,ARHGEF6,S684,172515457.2,808795345.7,4.688248572,0.165579441,0.06706512,0.863232955,PKACA
856,ARHGEF6,S684,172515457.2,808795345.7,4.688248572,0.165579441,0.06706512,0.863232955,PKG1
857,ARHGEF7,S518,4953383294.0,7041091784.0,1.4214712180000002,0.000221105,0.086407402,0.023481937999999997,PKCG
871,ARID1A,S363,881740228.8,770285381.5,0.8735967309999999,0.34608442,0.17405632,0.142839371,CDK2
897,ARID4A,S864,3498868893.0,3953447056.0,1.129921462,0.102430361,0.077245693,0.077590651,CDK2
930,ARRB1,S412,136503463.4,238674648.2,1.748487857,0.09923627900000001,0.652589392,0.073934628,ERK1
930,ARRB1,S412,136503463.4,238674648.2,1.748487857,0.09923627900000001,0.652589392,0.073934628,ERK2
989,ATF2,T69,964983993.9,840889383.8,0.8714024159999999,0.561744841,0.283685067,0.25944429199999997,ERK1
989,ATF2,T69,964983993.9,840889383.8,0.8714024159999999,0.561744841,0.283685067,0.25944429199999997,P38A
989,ATF2,T69,964983993.9,840889383.8,0.8714024159999999,0.561744841,0.283685067,0.25944429199999997,JNK2
989,ATF2,T69,964983993.9,840889383.8,0.8714024159999999,0.561744841,0.283685067,0.25944429199999997,JNK1
989,ATF2,T69,964983993.9,840889383.8,0.8714024159999999,0.561744841,0.283685067,0.25944429199999997,PLK3
990,ATF2,T71,1416899286.0,3328098528.0,2.348860333,0.000653155,0.13525547300000001,0.142834125,ERK1
990,ATF2,T71,1416899286.0,3328098528.0,2.348860333,0.000653155,0.13525547300000001,0.142834125,P38A
990,ATF2,T71,1416899286.0,3328098528.0,2.348860333,0.000653155,0.13525547300000001,0.142834125,ERK2
990,ATF2,T71,1416899286.0,3328098528.0,2.348860333,0.000653155,0.13525547300000001,0.142834125,JNK2
990,ATF2,T71,1416899286.0,3328098528.0,2.348860333,0.000653155,0.13525547300000001,0.142834125,JNK1
990,ATF2,T71,1416899286.0,3328098528.0,2.348860333,0.000653155,0.13525547300000001,0.142834125,PLK3
1021,ATM,T1885,3635208.276,3666261.1339999996,1.00854225,0.99539611,1.732050808,1.732050808,ATM
1059,ATP5C1,S146,212666152.4,90539678.68,0.425736196,0.08863968800000001,0.478766194,0.24426403300000002,PKCA
1066,ATR,S435,812427607.1,697185236.7,0.8581505979999999,0.422616266,0.225347092,0.204380261,PKACA
1067,ATRIP,S224,4334092911.0,4105404092.0,0.9472349059999999,0.293802919,0.074162258,0.030094005,CDK2
1086,ATXN1,S775,791192596.5,917854060.6,1.160089294,0.137897452,0.10002604,0.109893868,PKACA
1086,ATXN1,S775,791192596.5,917854060.6,1.160089294,0.137897452,0.10002604,0.109893868,MSK2
1086,ATXN1,S775,791192596.5,917854060.6,1.160089294,0.137897452,0.10002604,0.109893868,MSK1
1086,ATXN1,S775,791192596.5,917854060.6,1.160089294,0.137897452,0.10002604,0.109893868,Akt1
1140,BABAM1,S29,12904868.88,11025987.3,0.854405218,0.892873272,1.015927528,1.732050808,Akt1
1142,BAD,S118,4431612973.0,3053760383.0,0.689085532,0.047719631,0.191677686,0.147718196,RAF1
1142,BAD,S118,4431612973.0,3053760383.0,0.689085532,0.047719631,0.191677686,0.147718196,PKACA
1142,BAD,S118,4431612973.0,3053760383.0,0.689085532,0.047719631,0.191677686,0.147718196,PKCI
1142,BAD,S118,4431612973.0,3053760383.0,0.689085532,0.047719631,0.191677686,0.147718196,PRKD1
1142,BAD,S118,4431612973.0,3053760383.0,0.689085532,0.047719631,0.191677686,0.147718196,ARAF
1142,BAD,S118,4431612973.0,3053760383.0,0.689085532,0.047719631,0.191677686,0.147718196,PKCE
1142,BAD,S118,4431612973.0,3053760383.0,0.689085532,0.047719631,0.191677686,0.147718196,PAK1
1142,BAD,S118,4431612973.0,3053760383.0,0.689085532,0.047719631,0.191677686,0.147718196,BRAF
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,RAF1
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,PKCT
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,PKACA
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,ERK1
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,PKCI
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,PRKD1
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,ARAF
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,Pim3
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,ERK2
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,p90RSK
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,PKCE
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,PAK1
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,Pim1
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,BRAF
1144,BAD,S75,5394590.955,0.0,0.0,0.355917684,1.732050808,0.0,RSK2
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,RAF1
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,PKCT
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,PKACA
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,PKCI
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,PRKD1
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,ARAF
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,PKCE
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,PAK1
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,BRAF
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,Akt1
1145,BAD,S99,10428020444.0,9073795830.0,0.870135984,0.367423419,0.187602525,0.15451679,RSK2
1170,BAIAP2,S366,141531380.3,114286826.1,0.8075016709999999,0.804722632,1.222667193,0.51029832,AMPKA2
1170,BAIAP2,S366,141531380.3,114286826.1,0.8075016709999999,0.804722632,1.222667193,0.51029832,MARK2
1176,BAIAP2L1,S331,20717528.66,0.0,0.0,0.134202897,1.000711686,0.0,Chk2
1196,BAZ1A,S1320,110555323.1,143744496.2,1.300204207,0.609530137,0.602612301,0.580041305,Chk1
1322,BCLAF1,S531,18264602763.0,16439137483.0,0.9000544770000001,0.313561095,0.121277273,0.111467513,GSK3B
1328,BCLAF1,Y284,30100477635.0,27404101809.0,0.9104208290000001,0.505215199,0.160249681,0.163941428,Src
1371,BLVRA,S230,33089791.38,73971432.57,2.235475942,0.021835561,0.635073794,0.12758208699999998,PKCD
1371,BLVRA,S230,33089791.38,73971432.57,2.235475942,0.021835561,0.635073794,0.12758208699999998,ERK1
1371,BLVRA,S230,33089791.38,73971432.57,2.235475942,0.021835561,0.635073794,0.12758208699999998,PKCA
1402,BORA,S252,390859592.9,390985998.4,1.000323404,0.999305195,0.467244335,0.403003905,CDK1
1412,BRAF,S729,952958402.5,1177441148.0,1.235564055,0.143192337,0.22705746100000002,0.068467196,AMPKA1
1415,BRCA1,S1189,1355441873.0,486444169.0,0.358882353,0.000440356,0.146187553,0.17971329,CDK1
1415,BRCA1,S1189,1355441873.0,486444169.0,0.358882353,0.000440356,0.146187553,0.17971329,ATM
1416,BRCA1,S1191,1355441873.0,486444169.0,0.358882353,0.000440356,0.146187553,0.17971329,CDK1
1418,BRCA1,S1497,525229692.1,899059287.2,1.711744977,0.023544925,0.37834334700000005,0.09055712199999999,CDK1
1418,BRCA1,S1497,525229692.1,899059287.2,1.711744977,0.023544925,0.37834334700000005,0.09055712199999999,CDK2
1418,BRCA1,S1497,525229692.1,899059287.2,1.711744977,0.023544925,0.37834334700000005,0.09055712199999999,ATM
1419,BRCA1,S1524,71825036.49,48987100.97,0.682033778,0.48819003299999997,0.711438995,0.328785753,ATR
1419,BRCA1,S1524,71825036.49,48987100.97,0.682033778,0.48819003299999997,0.711438995,0.328785753,ATM
1420,BRCA1,S1542,1072807160.0,1042199379.0,0.971469447,0.7629678409999999,0.094235068,0.128695275,ATM
1436,BRD9,S588,1053763665.0,1146762804.0,1.0882542659999999,0.67175054,0.26058756899999996,0.205385156,mTOR
1501,BUB1B,S543,113701075.8,254269758.6,2.236300377,0.20432322600000002,0.31073427600000003,0.6579346970000001,CDK1
1501,BUB1B,S543,113701075.8,254269758.6,2.236300377,0.20432322600000002,0.31073427600000003,0.6579346970000001,TTK
1502,BUB1B,S670,689218456.7,788675870.0,1.144304629,0.831780285,0.442226935,0.905481451,CDK1
1502,BUB1B,S670,689218456.7,788675870.0,1.144304629,0.831780285,0.442226935,0.905481451,TTK
1570,C1orf198,S37,37223251.18,72336229.93,1.9433076809999998,0.034176866,0.24896693399999997,0.280033276,CDK2
1602,C6orf106,S215,7539391254.0,7355157017.0,0.9755637779999999,0.81654551,0.066088917,0.165667077,CDK2
1644,CAD,S1859,74154011880.0,54315102397.0,0.732463437,0.000418884,0.035941725,0.075679799,PKACA
1644,CAD,S1859,74154011880.0,54315102397.0,0.732463437,0.000418884,0.035941725,0.075679799,p70S6K
1654,CALD1,S789,87012070.78,110264204.5,1.267228829,0.400302276,0.26056546399999997,0.34723955799999995,ERK1
1655,CALD1,T730,481351352.9,395713099.2,0.8220878509999999,0.32196365899999996,0.20433558899999998,0.242614523,CDK2
1669,CAMK2G,S319,50112936.8,64066196.88,1.2784362870000001,0.522780806,0.486347694,0.405511281,CAMK2G
1679,CAMKK2,S511,10764632189.0,11525861896.0,1.070715812,0.562481218,0.160625826,0.111079476,DAPK1
1706,CANX,S583,100434000000.0,106954000000.0,1.064917105,0.668807688,0.149008258,0.188628402,ERK1
1706,CANX,S583,100434000000.0,106954000000.0,1.064917105,0.668807688,0.149008258,0.188628402,CDK1
1730,CARHSP1,S30,48650442721.0,46342234794.0,0.952555253,0.442128545,0.027806622000000003,0.100713655,DYRK2
1731,CARHSP1,S32,38703588584.0,37735545991.0,0.9749882990000001,0.71752221,0.041146719,0.109276623,DYRK2
1732,CARHSP1,S41,135711000000.0,125335000000.0,0.923542394,0.461245654,0.056511236,0.171626463,DYRK2
1733,CARHSP1,S52,124806000000.0,114872000000.0,0.920404439,0.004000910999999999,0.013410362,0.029731657999999998,SGK1
1733,CARHSP1,S52,124806000000.0,114872000000.0,0.920404439,0.004000910999999999,0.013410362,0.029731657999999998,p90RSK
1733,CARHSP1,S52,124806000000.0,114872000000.0,0.920404439,0.004000910999999999,0.013410362,0.029731657999999998,Akt1
1799,CBX3,S93,1396660888.0,1073169309.0,0.7683821590000001,0.28773637,0.09542772699999999,0.43006988799999996,PKACA
1803,CBX5,S92,3200088016.0,5059355363.0,1.581005065,0.000998197,0.034670246,0.10450589800000001,AurB
1807,CBY1,S20,813667766.3,763227515.6,0.938008788,0.723687862,0.195142801,0.22833431899999998,Akt2
1807,CBY1,S20,813667766.3,763227515.6,0.938008788,0.723687862,0.195142801,0.22833431899999998,Akt1
1853,CCDC6,S240,3058920503.0,5511817072.0,1.8018830719999999,0.043777687,0.194613895,0.28294316,Chk1
1854,CCDC6,S244,15092060180.0,13057467455.0,0.8651878740000001,0.141760675,0.074788539,0.134148139,Chk1
1854,CCDC6,S244,15092060180.0,13057467455.0,0.8651878740000001,0.141760675,0.074788539,0.134148139,CDK2
1894,CCDC88A,S237,71058076.1,0.0,0.0,0.189172642,1.169707022,0.0,ERK2
1919,CCM2,S384,865902248.3,1014826588.0,1.171987473,0.12157768,0.10317458199999999,0.110185481,YSK1
1929,CCNL2,S330,649487135.5,849401243.5,1.30780303,0.140438545,0.23819640600000003,0.156424974,DYRK1A
1930,CCNL2,S338,216888060.1,198024498.3,0.9130262790000001,0.902476187,0.638654405,1.084997711,DYRK1A
1932,CCNL2,S369,1568242648.0,1068598497.0,0.681398697,0.28857065,0.392937355,0.38914961600000003,DYRK1A
1943,CCP110,S400,3210797346.0,4067777616.0,1.266905749,0.06898645099999999,0.063386966,0.157221041,CDK2
1948,CCT2,S260,165541579.4,0.0,0.0,0.000177093,0.21116705800000002,0.0,p90RSK
1948,CCT2,S260,165541579.4,0.0,0.0,0.000177093,0.21116705800000002,0.0,p70S6K
1948,CCT2,S260,165541579.4,0.0,0.0,0.000177093,0.21116705800000002,0.0,Akt1
1981,CD3EAP,S285,698010211.3,770582894.7,1.103970805,0.520287555,0.132205231,0.206773032,CDK1
1984,CD4,S433,1939527.352,917328.9137,0.47296518600000004,0.5919192670000001,1.5334869830000002,1.056347677,PKCA
1985,CD4,S440,2990988980.0,4559792668.0,1.524510019,0.004012054,0.079779141,0.120967714,PKCA
1987,CD44,S706,10317600161.0,13651685162.0,1.323145397,0.036344272999999996,0.137253221,0.11865759,CAMK2A
1999,CDC20,S41,49406489424.0,4688622074.0,0.09489891199999999,0.000136628,0.164711622,0.827070014,BUB1
2001,CDC20,T157,280415844.3,469649290.7,1.6748315059999999,0.00019282299999999998,0.12357304300000001,0.04494917599999999,BUB1
2005,CDC25A,S18,3878959633.0,3461727178.0,0.89243702,0.71199921,0.46981871,0.11663137,CDK1
2008,CDC25B,S230,156364178.0,146322595.4,0.9357807990000001,0.785896435,0.323754417,0.235317738,Chk1
2010,CDC25B,S249,31051373.47,103992380.0,3.349042841,0.060221357,1.155373767,0.39678409,P38B
2011,CDC25B,S323,684547198.1,740618213.6,1.081909641,0.40304537100000004,0.06551881799999999,0.132610108,MAPKAPK2
2011,CDC25B,S323,684547198.1,740618213.6,1.081909641,0.40304537100000004,0.06551881799999999,0.132610108,MELK
2012,CDC25B,S375,1047857695.0,1059905037.0,1.011497117,0.9602912140000001,0.14567932,0.350905707,MAPKAPK2
2012,CDC25B,S375,1047857695.0,1059905037.0,1.011497117,0.9602912140000001,0.14567932,0.350905707,PLK1
2012,CDC25B,S375,1047857695.0,1059905037.0,1.011497117,0.9602912140000001,0.14567932,0.350905707,BRSK1 iso2
2013,CDC25C,S168,370105504.1,399798085.3,1.080227343,0.515148032,0.17918777600000002,0.08424790199999999,CDK1
2013,CDC25C,S168,370105504.1,399798085.3,1.080227343,0.515148032,0.17918777600000002,0.08424790199999999,JNK2
2013,CDC25C,S168,370105504.1,399798085.3,1.080227343,0.515148032,0.17918777600000002,0.08424790199999999,JNK1
2041,CDC42EP4,S80,405681930.1,1013767803.0,2.498922747,0.067874082,1.000608345,0.240828615,PKCA
2045,CDC6,S106,46991170.16,36023209.97,0.766595295,0.416408699,0.446810228,0.159652533,CDK2
2047,CDC6,S54,769240645.3,705446302.6,0.917068419,0.613871925,0.17295088100000003,0.226125905,CDK2
2060,CDCA5,S209,2824507677.0,3178060476.0,1.125173248,0.478682375,0.068638032,0.247727072,ERK1
2060,CDCA5,S209,2824507677.0,3178060476.0,1.125173248,0.478682375,0.068638032,0.247727072,CDK1
2060,CDCA5,S209,2824507677.0,3178060476.0,1.125173248,0.478682375,0.068638032,0.247727072,ERK2
2061,CDCA5,S21,29711998980.0,32286557914.0,1.086650479,0.304353641,0.12474131599999999,0.044138990999999995,CDK1
2062,CDCA5,S75,6529010181.0,5049309652.0,0.7733652590000001,0.20851075,0.16848496100000002,0.286915957,CDK1
2063,CDCA5,S83,47175038.1,91996403.39,1.950107665,0.038010651,0.39394833,0.246105892,CDK1
2063,CDCA5,S83,47175038.1,91996403.39,1.950107665,0.038010651,0.39394833,0.246105892,AurB
2065,CDCA7,T163,671251621.3,231603760.6,0.345032702,0.111372205,0.558774012,0.6954428979999999,Akt1
2070,CDCA8,S219,4152221009.0,3148304157.0,0.75822172,0.018882638,0.075849523,0.141442319,AurB
2076,CDK1,T14,2322456749.0,1838460011.0,0.791601399,0.426612682,0.151812167,0.499265426,Myt1
2077,CDK1,T161,288273230.5,225712518.7,0.7829811959999999,0.256747073,0.245616887,0.219858138,CDK7
2077,CDK1,T161,288273230.5,225712518.7,0.7829811959999999,0.256747073,0.245616887,0.219858138,Cot
2078,CDK1,Y15,2259068825.0,1761909867.0,0.779927485,0.402641694,0.167630615,0.49848725200000005,HER2
2078,CDK1,Y15,2259068825.0,1761909867.0,0.779927485,0.402641694,0.167630615,0.49848725200000005,Src
2078,CDK1,Y15,2259068825.0,1761909867.0,0.779927485,0.402641694,0.167630615,0.49848725200000005,Myt1
2078,CDK1,Y15,2259068825.0,1761909867.0,0.779927485,0.402641694,0.167630615,0.49848725200000005,Wee1
2091,CDK11B,S752,1772598835.0,2091643856.0,1.179987155,0.28207318600000003,0.176087157,0.166507144,Chk2
2113,CDK12,T893,2102515428.0,4584709426.0,2.180583013,0.000128119,0.036364493,0.10659964400000001,CDK7
2122,CDK13,S437,1391896763.0,1617302308.0,1.161941281,0.552890172,0.17796335300000002,0.35228855299999995,Chk1
2138,CDK16,S119,2156155.36,0.0,0.0,0.139048419,1.015779277,0.0,PKACA
2139,CDK16,S12,219270512.4,201100170.9,0.917132763,0.8193562440000001,0.569137304,0.21240336699999998,PKACA
2139,CDK16,S12,219270512.4,201100170.9,0.917132763,0.8193562440000001,0.569137304,0.21240336699999998,BRSK2
2140,CDK16,S138,339330844.8,304509194.1,0.897381416,0.24032137399999998,0.126581029,0.056630888,CDK2
2141,CDK16,S153,102844674.1,35129160.66,0.341574913,0.016733553999999998,0.306416665,0.47824373600000003,PKACA
2160,CDK2,T160,118917113.7,101278347.5,0.85167176,0.37143783700000005,0.23443434800000001,0.147590615,CDK7
2160,CDK2,T160,118917113.7,101278347.5,0.85167176,0.37143783700000005,0.23443434800000001,0.147590615,ERK1
2160,CDK2,T160,118917113.7,101278347.5,0.85167176,0.37143783700000005,0.23443434800000001,0.147590615,CDK2
2160,CDK2,T160,118917113.7,101278347.5,0.85167176,0.37143783700000005,0.23443434800000001,0.147590615,ERK2
2160,CDK2,T160,118917113.7,101278347.5,0.85167176,0.37143783700000005,0.23443434800000001,0.147590615,CDK20
2161,CDK2,Y15,4803295.944,8503488.006000001,1.7703443859999999,0.66199037,1.539211312,1.390435375,Wee1
2171,CDK7,S164,5801196563.0,6029880310.0,1.0394200999999998,0.789851042,0.237152981,0.059213963,CDK1
2171,CDK7,S164,5801196563.0,6029880310.0,1.0394200999999998,0.789851042,0.237152981,0.059213963,CDK2
2172,CDK7,T170,7510466835.0,9308153780.0,1.239357551,0.074836591,0.10688545199999999,0.129270549,PKCI
2172,CDK7,T170,7510466835.0,9308153780.0,1.239357551,0.074836591,0.10688545199999999,0.129270549,CDK1
2172,CDK7,T170,7510466835.0,9308153780.0,1.239357551,0.074836591,0.10688545199999999,0.129270549,CDK2
2173,CDK9,S347,93680973.61,144274359.0,1.540060414,0.42738579299999996,0.334875838,0.6797444159999999,CDK9
2178,CDKN1B,S10,2221355591.0,2547714068.0,1.146918611,0.6904404470000001,0.482008868,0.32406597800000003,CAMK2A
2178,CDKN1B,S10,2221355591.0,2547714068.0,1.146918611,0.6904404470000001,0.482008868,0.32406597800000003,CDK16
2178,CDKN1B,S10,2221355591.0,2547714068.0,1.146918611,0.6904404470000001,0.482008868,0.32406597800000003,KIS
2178,CDKN1B,S10,2221355591.0,2547714068.0,1.146918611,0.6904404470000001,0.482008868,0.32406597800000003,ERK2
2178,CDKN1B,S10,2221355591.0,2547714068.0,1.146918611,0.6904404470000001,0.482008868,0.32406597800000003,CDK6
2178,CDKN1B,S10,2221355591.0,2547714068.0,1.146918611,0.6904404470000001,0.482008868,0.32406597800000003,HIPK2
2178,CDKN1B,S10,2221355591.0,2547714068.0,1.146918611,0.6904404470000001,0.482008868,0.32406597800000003,Akt1
